Course Title,Rating,Provider,Level,Reviews,Type,Duration
Google Data Analytics,4.8,Google,Beginner,151000.0,Professional Certificate,3 - 6 Months
Google Cybersecurity,4.8,Google,Beginner,35000.0,Professional Certificate,3 - 6 Months
Google Project Management:,4.8,Google,Beginner,112000.0,Professional Certificate,3 - 6 Months
Google Digital Marketing & E-commerce,4.8,Google,Beginner,30000.0,Professional Certificate,3 - 6 Months
Google UX Design,4.8,Google,Beginner,83000.0,Professional Certificate,3 - 6 Months
Google IT Support,4.8,Google,Beginner,191000.0,Professional Certificate,3 - 6 Months
Machine Learning,4.9,Multiple educators,Beginner,26000.0,Specialization,1 - 3 Months
Deep Learning,4.8,DeepLearning.AI,Intermediate,144000.0,Specialization,3 - 6 Months
IBM Data Science,4.6,IBM,Beginner,130000.0,Professional Certificate,3 - 6 Months
IBM Data Analyst,4.6,IBM,Beginner,80000.0,Professional Certificate,3 - 6 Months
Google AI Essentials,4.7,Google,Beginner,3500.0,Course,1 - 3 Months
IBM AI Developer,4.6,IBM,Beginner,53000.0,Professional Certificate,3 - 6 Months
Microsoft Power BI Data Analyst,4.6,Microsoft,Beginner,4200.0,Professional Certificate,3 - 6 Months
IBM Full Stack Software Developer,4.6,IBM,Beginner,47000.0,Professional Certificate,3 - 6 Months
Google Advanced Data Analytics,4.7,Google,Advanced,4200.0,Professional Certificate,3 - 6 Months
Data Science Fundamentals with Python and SQL,4.6,IBM,Beginner,65000.0,Specialization,3 - 6 Months
Foundations of Project Management,4.9,Google,Beginner,84000.0,Course,1 - 4 Weeks
Business Foundations,4.7,University of Pennsylvania,Beginner,25000.0,Specialization,3 - 6 Months
IBM Back-End Development,4.6,IBM,Beginner,41000.0,Professional Certificate,3 - 6 Months
"Foundations: Data, Data, Everywhere",4.8,Google,Beginner,104000.0,Course,1 - 4 Weeks
Introduction to Data Science,4.6,IBM,Beginner,92000.0,Specialization,3 - 6 Months
IBM Data Engineering,4.6,IBM,Beginner,51000.0,Professional Certificate,3 - 6 Months
IBM DevOps and Software Engineering,4.6,IBM,Beginner,50000.0,Professional Certificate,3 - 6 Months
Applied Data Science,4.6,IBM,Beginner,53000.0,Specialization,3 - 6 Months
Applied Software Engineering Fundamentals,4.6,IBM,Beginner,41000.0,Specialization,3 - 6 Months
Meta Front-End Developer,4.7,Meta,Beginner,19000.0,Professional Certificate,3 - 6 Months
Foundations of Cybersecurity,4.8,Google,Beginner,24000.0,Course,1 - 4 Weeks
